trial_id,timestamp,model,trial,realness_score,coherence_score,naturalness_score,overall_score,brief_feedback,grading_error
google/gemma-3-1b_1_1759012007,2025-09-27T18:26:49.931892,google/gemma-3-1b,1,8,9,8,8,"The conversation is quite realistic and coherent, with natural speech patterns, though some phrases could be more fluid.",
google/gemma-3-1b_2_1759012017,2025-09-27T18:26:59.751308,google/gemma-3-1b,2,8,9,8,8,"The conversation is quite realistic and coherent, with natural speech patterns, though some responses could be slightly more varied.",
google/gemma-3-1b_3_1759012027,2025-09-27T18:27:10.518573,google/gemma-3-1b,3,8,9,8,8,"The conversation is quite realistic and coherent, with natural speech patterns, though some responses could be slightly more varied.",
google/gemma-3-1b_4_1759012037,2025-09-27T18:27:19.577949,google/gemma-3-1b,4,8,7,8,7,"The conversation feels realistic and flows well, but some responses could be more concise and focused.",
google/gemma-3-1b_5_1759012047,2025-09-27T18:27:29.861858,google/gemma-3-1b,5,8,9,8,8,"The conversation is quite realistic and coherent, with natural speech patterns, though some responses could be more varied.",
google/gemma-3-1b_6_1759012057,2025-09-27T18:27:38.750116,google/gemma-3-1b,6,8,9,8,8,"The conversation is quite realistic and coherent, with natural speech patterns, though some responses could be slightly more varied.",
google/gemma-3-1b_7_1759012067,2025-09-27T18:27:48.907589,google/gemma-3-1b,7,8,9,8,8,"The conversation is quite realistic and coherent, though some responses could be more varied to enhance naturalness.",
google/gemma-3-1b_8_1759012077,2025-09-27T18:27:58.713761,google/gemma-3-1b,8,8,9,8,8,"The conversation is quite realistic and coherent, with natural speech patterns, though some responses could be slightly more concise.",
google/gemma-3-1b_9_1759012087,2025-09-27T18:28:08.879040,google/gemma-3-1b,9,8,9,8,8,"The conversation is quite realistic and coherent, though some responses could be more concise.",
google/gemma-3-1b_10_1759012097,2025-09-27T18:28:18.928361,google/gemma-3-1b,10,8,9,8,8,"The conversation feels realistic and coherent, with natural speech patterns, though some responses could be more concise.",
phi-3-mini-4k-instruct_1_1759012238,2025-09-27T18:30:40.617521,phi-3-mini-4k-instruct,1,8,9,8,8,"The conversation is quite realistic and coherent, with natural speech patterns, though some minor adjustments could enhance its believability.",
phi-3-mini-4k-instruct_2_1759012379,2025-09-27T18:33:01.464319,phi-3-mini-4k-instruct,2,8,9,8,8,"The conversation is quite realistic and coherent, with only minor areas for improvement in naturalness and flow.",
phi-3-mini-4k-instruct_3_1759012524,2025-09-27T18:35:26.797295,phi-3-mini-4k-instruct,3,8,9,8,8,"The conversation is quite realistic and coherent, with natural speech patterns, though some minor adjustments could enhance its authenticity.",
phi-3-mini-4k-instruct_4_1759012668,2025-09-27T18:37:50.010122,phi-3-mini-4k-instruct,4,8,9,8,8,"The conversation is realistic and coherent, with natural speech patterns, though some responses could be slightly more concise.",
phi-3-mini-4k-instruct_5_1759012816,2025-09-27T18:40:18.502836,phi-3-mini-4k-instruct,5,8,9,8,8,"The conversation is realistic and coherent, with natural speech patterns, though it could benefit from more nuanced responses.",
phi-3-mini-4k-instruct_6_1759012964,2025-09-27T18:42:46.666052,phi-3-mini-4k-instruct,6,8,9,8,8,"The conversation is realistic and coherent, with natural speech patterns, though some responses could be slightly more human-like.",
phi-3-mini-4k-instruct_7_1759013073,2025-09-27T18:44:34.828386,phi-3-mini-4k-instruct,7,8,9,8,8,"The conversation is quite realistic and coherent, with natural speech patterns, though some minor adjustments could enhance its believability.",
phi-3-mini-4k-instruct_8_1759013214,2025-09-27T18:46:56.416496,phi-3-mini-4k-instruct,8,8,9,8,8,"The conversation is realistic and coherent, with natural speech patterns, though some responses could be slightly more human-like.",
phi-3-mini-4k-instruct_9_1759013359,2025-09-27T18:49:21.258378,phi-3-mini-4k-instruct,9,9,9,8,9,"The conversation is realistic and flows well, with only minor areas for improvement in naturalness.",
phi-3-mini-4k-instruct_10_1759013506,2025-09-27T18:51:48.415177,phi-3-mini-4k-instruct,10,8,9,8,8,"The conversation is quite realistic and coherent, with natural speech patterns, though some responses could be slightly more concise.",
microsoft/phi-4-mini-reasoning_1_1759013703,2025-09-27T18:55:05.356312,microsoft/phi-4-mini-reasoning,1,7,8,7,7,"The conversation is fairly realistic and coherent, but some phrases could be more natural and fluid.",
microsoft/phi-4-mini-reasoning_2_1759013852,2025-09-27T18:57:34.266647,microsoft/phi-4-mini-reasoning,2,7,8,7,7,The conversation captures some realistic elements but could benefit from more nuanced human-like interactions and emotional depth.,
microsoft/phi-4-mini-reasoning_3_1759014002,2025-09-27T19:00:03.952468,microsoft/phi-4-mini-reasoning,3,7,8,7,7,"The conversation is fairly realistic and coherent, but some phrases feel slightly scripted and could benefit from more varied speech patterns.",
microsoft/phi-4-mini-reasoning_4_1759014146,2025-09-27T19:02:28.682893,microsoft/phi-4-mini-reasoning,4,8,7,8,7,"The conversation captures the anxious tone of a first-time patient well, but could benefit from more varied responses and smoother transitions.",
microsoft/phi-4-mini-reasoning_5_1759014292,2025-09-27T19:04:54.545548,microsoft/phi-4-mini-reasoning,5,7,8,7,7,The conversation captures a realistic scenario but could benefit from more varied speech patterns and deeper engagement.,
microsoft/phi-4-mini-reasoning_6_1759014381,2025-09-27T19:06:23.083833,microsoft/phi-4-mini-reasoning,6,8,9,8,8,"The conversation is quite realistic and coherent, with only minor areas for improvement in naturalness.",
microsoft/phi-4-mini-reasoning_7_1759014534,2025-09-27T19:08:56.068649,microsoft/phi-4-mini-reasoning,7,8,7,7,7,"The conversation is quite realistic and coherent, but some parts could be more fluid and natural.",
microsoft/phi-4-mini-reasoning_8_1759014678,2025-09-27T19:11:20.576400,microsoft/phi-4-mini-reasoning,8,7,8,7,7,"The conversation is fairly realistic and coherent, but some phrases could be more natural and fluid.",
microsoft/phi-4-mini-reasoning_9_1759014823,2025-09-27T19:13:46.151556,microsoft/phi-4-mini-reasoning,9,7,8,7,7,The conversation captures the essence of a healthcare appointment but could benefit from more nuanced hesitations and corrections to enhance realism.,
microsoft/phi-4-mini-reasoning_10_1759014901,2025-09-27T19:15:03.507229,microsoft/phi-4-mini-reasoning,10,8,9,8,8,"The conversation is quite realistic and coherent, with natural speech patterns, though some minor adjustments could enhance its believability.",
qwen/qwen3-4b-thinking-2507_1_1759015063,2025-09-27T19:17:45.026408,qwen/qwen3-4b-thinking-2507,1,8,7,8,7,"The conversation is quite realistic and natural, but some parts could flow better and include more varied hesitations.",
qwen/qwen3-4b-thinking-2507_2_1759015215,2025-09-27T19:20:17.116636,qwen/qwen3-4b-thinking-2507,2,8,9,8,8,"The conversation is realistic and coherent, with natural speech patterns, but could benefit from more varied hesitations and corrections.",
qwen/qwen3-4b-thinking-2507_3_1759015370,2025-09-27T19:22:52.083921,qwen/qwen3-4b-thinking-2507,3,7,8,7,7,"The conversation is fairly realistic and coherent, but some responses could be more natural and fluid.",
qwen/qwen3-4b-thinking-2507_4_1759015537,2025-09-27T19:25:39.530455,qwen/qwen3-4b-thinking-2507,4,8,9,8,8,"The conversation is quite realistic and coherent, with natural speech patterns, though it could benefit from more varied expressions of hesitation.",
